date,occupation,status,count
23/05/2016,Sales and marketing support,new,6.035131098
23/05/2016,Software development and technology,new,22.39272652
23/05/2016,Writing and translation,new,7.782928965
24/05/2016,Clerical and data entry,new,11.29346314
24/05/2016,Creative and multimedia,new,27.50167414
24/05/2016,Professional services,new,2.659042909
24/05/2016,Sales and marketing support,new,10.63617164
24/05/2016,Software development and technology,new,40.91639623
24/05/2016,Writing and translation,new,15.28202751
25/05/2016,Clerical and data entry,new,13.7284294
25/05/2016,Creative and multimedia,new,28.99551847
25/05/2016,Professional services,new,2.30052027
25/05/2016,Sales and marketing support,new,11.54741668
25/05/2016,Software development and technology,new,44.08334621
25/05/2016,Writing and translation,new,14.95338175
26/05/2016,Clerical and data entry,new,16.16339566
26/05/2016,Creative and multimedia,new,28.44279606
26/05/2016,Professional services,new,2.375212486
26/05/2016,Sales and marketing support,new,10.06851079
26/05/2016,Software development and technology,new,39.66156699
26/05/2016,Writing and translation,new,14.87868954
27/05/2016,Clerical and data entry,new,20.39097512
27/05/2016,Creative and multimedia,new,29.60799464
27/05/2016,Professional services,new,2.03162829
27/05/2016,Sales and marketing support,new,9.859372585
27/05/2016,Software development and technology,new,41.27491887
27/05/2016,Writing and translation,new,14.40065935
28/05/2016,Clerical and data entry,new,16.35759543
28/05/2016,Creative and multimedia,new,22.85581827
28/05/2016,Professional services,new,2.25570494
28/05/2016,Sales and marketing support,new,9.127388863
28/05/2016,Software development and technology,new,36.5244939
28/05/2016,Writing and translation,new,12.87693813
29/05/2016,Clerical and data entry,new,13.22052233
29/05/2016,Creative and multimedia,new,17.37340957
29/05/2016,Professional services,new,1.478905888
29/05/2016,Sales and marketing support,new,4.989440066
29/05/2016,Software development and technology,new,26.6949982
29/05/2016,Writing and translation,new,8.70911245
30/05/2016,Clerical and data entry,new,11.08432494
30/05/2016,Creative and multimedia,new,16.46216453
30/05/2016,Professional services,new,1.508782774
30/05/2016,Sales and marketing support,new,7.125637459
30/05/2016,Software development and technology,new,23.87163241
30/05/2016,Writing and translation,new,8.096636275
31/05/2016,Clerical and data entry,new,14.49029001
31/05/2016,Creative and multimedia,new,23.21434091
31/05/2016,Professional services,new,1.822490084
31/05/2016,Sales and marketing support,new,8.858496884
31/05/2016,Software development and technology,new,32.10271468
31/05/2016,Writing and translation,new,11.95075465
01/06/2016,Clerical and data entry,new,19.28553031
01/06/2016,Creative and multimedia,new,27.15808994
01/06/2016,Professional services,new,2.330397157
01/06/2016,Sales and marketing support,new,10.03863391
01/06/2016,Software development and technology,new,41.52887241
01/06/2016,Writing and translation,new,15.28202751
02/06/2016,Clerical and data entry,new,19.61417607
02/06/2016,Creative and multimedia,new,26.30659867
02/06/2016,Professional services,new,2.509658476
02/06/2016,Sales and marketing support,new,9.829495699
02/06/2016,Software development and technology,new,38.89970638
02/06/2016,Writing and translation,new,14.14670582
03/06/2016,Clerical and data entry,new,19.37516097
03/06/2016,Creative and multimedia,new,29.38391799
03/06/2016,Professional services,new,2.3453356
03/06/2016,Sales and marketing support,new,11.2785247
03/06/2016,Software development and technology,new,42.8733323
03/06/2016,Writing and translation,new,13.71349096
04/06/2016,Clerical and data entry,new,16.67130274
04/06/2016,Creative and multimedia,new,23.6624942
04/06/2016,Professional services,new,1.822490084
04/06/2016,Sales and marketing support,new,9.082573533
04/06/2016,Software development and technology,new,32.68531396
04/06/2016,Writing and translation,new,10.66604852
05/06/2016,Clerical and data entry,new,18.73280791
05/06/2016,Creative and multimedia,new,17.77674754
05/06/2016,Professional services,new,1.598413434
05/06/2016,Sales and marketing support,new,6.976253026
05/06/2016,Software development and technology,new,26.12733735
05/06/2016,Writing and translation,new,10.277649
06/06/2016,Clerical and data entry,new,10.17307989
06/06/2016,Creative and multimedia,new,16.56673363
06/06/2016,Professional services,new,1.269767681
06/06/2016,Sales and marketing support,new,6.109823314
06/06/2016,Software development and technology,new,25.99289136
06/06/2016,Writing and translation,new,8.350589811
07/06/2016,Clerical and data entry,new,16.50697986
07/06/2016,Creative and multimedia,new,26.94895173
07/06/2016,Professional services,new,2.449904703
07/06/2016,Sales and marketing support,new,10.68098697
07/06/2016,Software development and technology,new,36.67387833
07/06/2016,Writing and translation,new,13.71349096
08/06/2016,Clerical and data entry,new,19.46479163
08/06/2016,Creative and multimedia,new,31.80394581
08/06/2016,Professional services,new,2.225828053
08/06/2016,Sales and marketing support,new,11.89100088
08/06/2016,Software development and technology,new,42.49987122
08/06/2016,Writing and translation,new,14.90856642
09/06/2016,Clerical and data entry,new,19.37516097
09/06/2016,Creative and multimedia,new,28.36810385
09/06/2016,Professional services,new,2.659042909
09/06/2016,Sales and marketing support,new,11.00963272
09/06/2016,Software development and technology,new,40.40848916
09/06/2016,Writing and translation,new,15.14758152
10/06/2016,Clerical and data entry,new,20.16689847
10/06/2016,Creative and multimedia,new,27.38216659
10/06/2016,Professional services,new,1.837428527
10/06/2016,Sales and marketing support,new,10.74074074
10/06/2016,Software development and technology,new,39.0789677
10/06/2016,Writing and translation,new,14.93844331
11/06/2016,Clerical and data entry,new,17.22402514
11/06/2016,Creative and multimedia,new,25.58955339
11/06/2016,Professional services,new,1.807551641
11/06/2016,Sales and marketing support,new,9.859372585
11/06/2016,Software development and technology,new,37.01746253
11/06/2016,Writing and translation,new,12.26446196
12/06/2016,Clerical and data entry,new,12.77236903
12/06/2016,Creative and multimedia,new,17.47797867
12/06/2016,Professional services,new,1.329521455
12/06/2016,Sales and marketing support,new,6.63266883
12/06/2016,Software development and technology,new,24.82769278
12/06/2016,Writing and translation,new,7.977128728
13/06/2016,Clerical and data entry,new,11.45778602
13/06/2016,Creative and multimedia,new,16.53685675
13/06/2016,Professional services,new,1.598413434
13/06/2016,Sales and marketing support,new,6.289084634
13/06/2016,Software development and technology,new,25.52979962
13/06/2016,Writing and translation,new,7.857621182
14/06/2016,Clerical and data entry,new,25.08164632
14/06/2016,Creative and multimedia,new,26.29166023
14/06/2016,Professional services,new,2.285581827
14/06/2016,Sales and marketing support,new,10.9349405
14/06/2016,Software development and technology,new,35.41904909
14/06/2016,Writing and translation,new,13.80312162
15/06/2016,Clerical and data entry,new,17.22402514
15/06/2016,Creative and multimedia,new,26.99376706
15/06/2016,Professional services,new,2.718796683
15/06/2016,Sales and marketing support,new,12.3839695
15/06/2016,Software development and technology,new,42.48493278
15/06/2016,Writing and translation,new,14.56498223
16/06/2016,Clerical and data entry,new,19.09133055
16/06/2016,Creative and multimedia,new,25.51486118
16/06/2016,Professional services,new,2.420027816
16/06/2016,Sales and marketing support,new,8.903312213
16/06/2016,Software development and technology,new,38.92958327
16/06/2016,Writing and translation,new,16.13351878
17/06/2016,Clerical and data entry,new,16.37253387
17/06/2016,Creative and multimedia,new,26.91907485
17/06/2016,Professional services,new,1.927059187
17/06/2016,Sales and marketing support,new,10.21789522
17/06/2016,Software development and technology,new,37.58512337
17/06/2016,Writing and translation,new,14.01225983
18/06/2016,Clerical and data entry,new,28.38304229
18/06/2016,Creative and multimedia,new,24.73806212
18/06/2016,Professional services,new,1.94199763
18/06/2016,Sales and marketing support,new,8.768866224
18/06/2016,Software development and technology,new,35.00077268
18/06/2016,Writing and translation,new,11.59223201
19/06/2016,Clerical and data entry,new,11.98063154
19/06/2016,Creative and multimedia,new,17.19414825
19/06/2016,Professional services,new,1.344459898
19/06/2016,Sales and marketing support,new,5.960438881
19/06/2016,Software development and technology,new,25.52979962
19/06/2016,Writing and translation,new,8.455158914
20/06/2016,Clerical and data entry,new,10.87518673
20/06/2016,Creative and multimedia,new,15.74511925
20/06/2016,Professional services,new,1.643228764
20/06/2016,Sales and marketing support,new,6.259207747
20/06/2016,Software development and technology,new,23.0052027
20/06/2016,Writing and translation,new,8.634420234
21/06/2016,Clerical and data entry,new,30.72837789
21/06/2016,Creative and multimedia,new,26.62030598
21/06/2016,Professional services,new,2.12125895
21/06/2016,Sales and marketing support,new,11.50260135
21/06/2016,Software development and technology,new,37.01746253
21/06/2016,Writing and translation,new,12.89187658
22/06/2016,Clerical and data entry,new,24.78287745
22/06/2016,Creative and multimedia,new,28.41291918
22/06/2016,Professional services,new,3.152011539
22/06/2016,Sales and marketing support,new,13.175707
22/06/2016,Software development and technology,new,43.45593159
22/06/2016,Writing and translation,new,16.34265698
23/06/2016,Clerical and data entry,new,18.7626848
23/06/2016,Creative and multimedia,new,24.63349302
23/06/2016,Professional services,new,2.315458713
23/06/2016,Sales and marketing support,new,10.20295678
23/06/2016,Software development and technology,new,37.76438469
23/06/2016,Writing and translation,new,13.63879874
24/06/2016,Clerical and data entry,new,19.73368361
24/06/2016,Creative and multimedia,new,26.60536754
24/06/2016,Professional services,new,2.30052027
24/06/2016,Sales and marketing support,new,10.24777211
24/06/2016,Software development and technology,new,40.27404317
24/06/2016,Writing and translation,new,12.89187658
25/06/2016,Clerical and data entry,new,19.98763715
25/06/2016,Creative and multimedia,new,23.63261732
25/06/2016,Professional services,new,2.30052027
25/06/2016,Sales and marketing support,new,8.724050894
25/06/2016,Software development and technology,new,34.80657292
25/06/2016,Writing and translation,new,11.84618555
26/06/2016,Clerical and data entry,new,12.48853861
26/06/2016,Creative and multimedia,new,17.91119353
26/06/2016,Professional services,new,1.374336785
26/06/2016,Sales and marketing support,new,6.76711482
26/06/2016,Software development and technology,new,23.85669397
26/06/2016,Writing and translation,new,8.873435327
27/06/2016,Clerical and data entry,new,10.8303714
27/06/2016,Creative and multimedia,new,17.73193221
27/06/2016,Professional services,new,1.404213671
27/06/2016,Sales and marketing support,new,6.184515531
27/06/2016,Software development and technology,new,23.16952558
27/06/2016,Writing and translation,new,7.842682738
28/06/2016,Clerical and data entry,new,22.22840365
28/06/2016,Creative and multimedia,new,21.61592747
28/06/2016,Professional services,new,2.30052027
28/06/2016,Sales and marketing support,new,10.89012517
28/06/2016,Software development and technology,new,46.86189667
28/06/2016,Writing and translation,new,12.8321228
29/06/2016,Clerical and data entry,new,19.79343739
29/06/2016,Creative and multimedia,new,28.38304229
29/06/2016,Professional services,new,2.12125895
29/06/2016,Sales and marketing support,new,10.69592541
29/06/2016,Software development and technology,new,48.71426364
29/06/2016,Writing and translation,new,13.98238294
30/06/2016,Clerical and data entry,new,21.5561737
30/06/2016,Creative and multimedia,new,42.82851697
30/06/2016,Professional services,new,3.152011539
30/06/2016,Sales and marketing support,new,12.75743059
30/06/2016,Software development and technology,new,38.31710709
30/06/2016,Writing and translation,new,16.04388812
01/07/2016,Clerical and data entry,new,18.52366971
01/07/2016,Creative and multimedia,new,26.08252202
01/07/2016,Professional services,new,2.195951167
01/07/2016,Sales and marketing support,new,10.14320301
01/07/2016,Software development and technology,new,38.30216865
01/07/2016,Writing and translation,new,14.47535157
02/07/2016,Clerical and data entry,new,17.11945603
02/07/2016,Creative and multimedia,new,21.67568124
02/07/2016,Professional services,new,1.478905888
02/07/2016,Sales and marketing support,new,8.171328491
02/07/2016,Software development and technology,new,36.5244939
02/07/2016,Writing and translation,new,9.949003245
03/07/2016,Clerical and data entry,new,12.32421573
03/07/2016,Creative and multimedia,new,17.73193221
03/07/2016,Professional services,new,1.120383248
03/07/2016,Sales and marketing support,new,7.394529439
03/07/2016,Software development and technology,new,23.48323289
03/07/2016,Writing and translation,new,8.036882501
04/07/2016,Clerical and data entry,new,11.726678
04/07/2016,Creative and multimedia,new,15.73018081
04/07/2016,Professional services,new,0.806675939
04/07/2016,Sales and marketing support,new,5.766239118
04/07/2016,Software development and technology,new,21.89975789
04/07/2016,Writing and translation,new,6.528099727
05/07/2016,Clerical and data entry,new,23.42347911
05/07/2016,Creative and multimedia,new,21.06320507
05/07/2016,Professional services,new,1.673105651
05/07/2016,Sales and marketing support,new,7.812805852
05/07/2016,Software development and technology,new,29.57811776
05/07/2016,Writing and translation,new,9.844434142
06/07/2016,Clerical and data entry,new,26.7995673
06/07/2016,Creative and multimedia,new,32.96914439
06/07/2016,Professional services,new,5.049193839
06/07/2016,Sales and marketing support,new,15.56585793
06/07/2016,Software development and technology,new,52.20985937
06/07/2016,Writing and translation,new,24.36460104
07/07/2016,Clerical and data entry,new,18.50873126
07/07/2016,Creative and multimedia,new,26.33647556
07/07/2016,Professional services,new,2.07644362
07/07/2016,Sales and marketing support,new,9.889249472
07/07/2016,Software development and technology,new,36.94277031
07/07/2016,Writing and translation,new,13.38484521
08/07/2016,Clerical and data entry,new,7.170452789
08/07/2016,Creative and multimedia,new,27.27759749
08/07/2016,Professional services,new,2.091382064
08/07/2016,Sales and marketing support,new,10.24777211
08/07/2016,Software development and technology,new,34.04471231
08/07/2016,Writing and translation,new,12.15989286
09/07/2016,Clerical and data entry,new,5.407716479
09/07/2016,Creative and multimedia,new,22.07901921
09/07/2016,Professional services,new,2.091382064
09/07/2016,Sales and marketing support,new,9.24689641
09/07/2016,Software development and technology,new,34.47792716
09/07/2016,Writing and translation,new,12.01050842
10/07/2016,Clerical and data entry,new,10.39715654
10/07/2016,Creative and multimedia,new,19.59923762
10/07/2016,Professional services,new,0.941121929
10/07/2016,Sales and marketing support,new,6.139700201
10/07/2016,Software development and technology,new,25.96301447
10/07/2016,Writing and translation,new,10.09838768
11/07/2016,Clerical and data entry,new,11.6221089
11/07/2016,Creative and multimedia,new,17.73193221
11/07/2016,Professional services,new,1.165198578
11/07/2016,Sales and marketing support,new,6.841807037
11/07/2016,Software development and technology,new,19.97269871
11/07/2016,Writing and translation,new,8.096636275
12/07/2016,Clerical and data entry,new,18.46391593
12/07/2016,Creative and multimedia,new,26.47092155
12/07/2016,Professional services,new,2.3453356
12/07/2016,Sales and marketing support,new,9.799618812
12/07/2016,Software development and technology,new,35.89707928
12/07/2016,Writing and translation,new,12.53335394
13/07/2016,Clerical and data entry,new,6.886622366
13/07/2016,Creative and multimedia,new,30.60887034
13/07/2016,Professional services,new,2.449904703
13/07/2016,Sales and marketing support,new,11.18889404
13/07/2016,Software development and technology,new,39.91552053
13/07/2016,Writing and translation,new,14.01225983
14/07/2016,Clerical and data entry,new,20.42085201
14/07/2016,Creative and multimedia,new,28.17390408
14/07/2016,Professional services,new,2.599289136
14/07/2016,Sales and marketing support,new,10.66604852
14/07/2016,Software development and technology,new,39.27316747
14/07/2016,Writing and translation,new,14.49029001
15/07/2016,Clerical and data entry,new,18.03070108
15/07/2016,Creative and multimedia,new,25.08164632
15/07/2016,Professional services,new,2.47978159
15/07/2016,Sales and marketing support,new,9.859372585
15/07/2016,Software development and technology,new,41.06578066
15/07/2016,Writing and translation,new,12.50347705
16/07/2016,Clerical and data entry,new,19.37516097
16/07/2016,Creative and multimedia,new,25.44016896
16/07/2016,Professional services,new,1.807551641
16/07/2016,Sales and marketing support,new,10.09838768
16/07/2016,Software development and technology,new,34.13434297
16/07/2016,Writing and translation,new,11.90593932
17/07/2016,Clerical and data entry,new,14.22139803
17/07/2016,Creative and multimedia,new,15.6256117
17/07/2016,Professional services,new,1.239890795
17/07/2016,Sales and marketing support,new,5.601916242
17/07/2016,Software development and technology,new,23.09483336
17/07/2016,Writing and translation,new,7.723175192
18/07/2016,Clerical and data entry,new,14.7293051
18/07/2016,Creative and multimedia,new,18.35934683
18/07/2016,Professional services,new,1.777674754
18/07/2016,Sales and marketing support,new,7.289960336
18/07/2016,Software development and technology,new,23.81187864
18/07/2016,Writing and translation,new,8.395405141
19/07/2016,Clerical and data entry,new,19.24071498
19/07/2016,Creative and multimedia,new,26.20202957
19/07/2016,Professional services,new,1.98681296
19/07/2016,Sales and marketing support,new,10.20295678
19/07/2016,Software development and technology,new,36.2854788
19/07/2016,Writing and translation,new,13.01138412
20/07/2016,Clerical and data entry,new,21.57111214
20/07/2016,Creative and multimedia,new,32.71519085
20/07/2016,Professional services,new,2.494720033
20/07/2016,Sales and marketing support,new,12.30927729
20/07/2016,Software development and technology,new,41.24504198
20/07/2016,Writing and translation,new,16.64142585
21/07/2016,Clerical and data entry,new,20.68974399
21/07/2016,Creative and multimedia,new,29.65280997
21/07/2016,Professional services,new,2.673981353
21/07/2016,Sales and marketing support,new,12.0702622
21/07/2016,Software development and technology,new,43.45593159
21/07/2016,Writing and translation,new,15.29696595
22/07/2016,Clerical and data entry,new,23.60274043
22/07/2016,Creative and multimedia,new,31.56493072
22/07/2016,Professional services,new,2.56941225
22/07/2016,Sales and marketing support,new,12.84706125
22/07/2016,Software development and technology,new,43.00777829
22/07/2016,Writing and translation,new,15.32684284
23/07/2016,Clerical and data entry,new,21.67568124
23/07/2016,Creative and multimedia,new,25.88832226
23/07/2016,Professional services,new,2.106320507
23/07/2016,Sales and marketing support,new,9.15726575
23/07/2016,Software development and technology,new,37.22660073
23/07/2016,Writing and translation,new,11.6221089
24/07/2016,Clerical and data entry,new,14.49029001
24/07/2016,Creative and multimedia,new,19.6589914
24/07/2016,Professional services,new,1.493844331
24/07/2016,Sales and marketing support,new,7.514036986
24/07/2016,Software development and technology,new,27.87513522
24/07/2016,Writing and translation,new,9.20208108
25/07/2016,Clerical and data entry,new,13.57904497
25/07/2016,Creative and multimedia,new,18.12033174
25/07/2016,Professional services,new,1.449029001
25/07/2016,Sales and marketing support,new,7.484160099
25/07/2016,Software development and technology,new,24.52892392
25/07/2016,Writing and translation,new,8.604543347
