country,city,state,latitude,longitude,location
USA,Orange,NJ,33.787794,-117.853112,USA Orange NJ
USA,Cincinnati,OH,39.103118,-84.51202,USA Cincinnati OH
USA,Newport,KY,39.091449,-84.495776,USA Newport KY
USA,Oskaloosa,IA,41.291673,-92.649359,USA Oskaloosa IA
USA,Warsaw,IL,40.359211,-91.434598,USA Warsaw IL
USA,Koekuk,IA?,40.404473,-91.396397,USA Koekuk IA?
USA,Maisfeld,near Oskaloosa,41.291673,-92.649359,USA Maisfeld near Oskaloosa
USA,Monroe,MI,41.916434,-83.39771,USA Monroe MI
USA,Tonawanda,NY,43.020335,-78.880315,USA Tonawanda NY
USA,Oak Grove,WI,43.386106,-88.74566,USA Oak Grove WI
USA,Edwardsville,IL,38.811436,-89.953157,USA Edwardsville IL
USA,New York,NY,40.712784,-74.005941000000007,USA New York NY
USA,Williamsburg,NY,40.708116,-73.95707,USA Williamsburg NY
USA,Brooklyn,NY,40.678178,-73.944158,USA Brooklyn NY
USA,San Francisco,CA,37.77493,-122.419416,USA San Francisco CA
USA,Union Hill,NY,43.222841,-77.371658,USA Union Hill NY
USA,Sonoma,CA,38.291859,-122.458036,USA Sonoma CA
DEU,OberweiÃŸbach,TH,50.581574,11.142585,DEU OberweiÃŸbach TH
USA,Waterloo,WI,43.183884,-88.988442,USA Waterloo WI
USA,"Amherst, Portage Co.",WI,44.450808,-89.284836,"USA Amherst, Portage Co. WI"
USA,Minneapolis,MN,44.977753,-93.265011,USA Minneapolis MN
DEU,GrÃ¤fenthal,TH,50.525772,11.310406,DEU GrÃ¤fenthal TH
DEU,Piesau,TH,50.512949,11.21717,DEU Piesau TH
USA,Austin,TX,30.267153,-97.743061,USA Austin TX
USA,Brenham,TX,30.166883,-96.397744,USA Brenham TX
DEU,Leipzig,SA,51.410476,12.754026,DEU Leipzig SA
USA,Oliverea,NY,42.065369,-74.460152,USA Oliverea NY
USA,Trenton,NJ,40.217053,-74.742938,USA Trenton NJ
DEU,Erfurt,TH,50.984768,11.02988,DEU Erfurt TH
USA,Perry,OK,36.289486,-97.288098,USA Perry OK
USA,Shamrock,OK,35.910069,-96.583905,USA Shamrock OK
USA,Midford,OK,36.806973,-97.733664,USA Midford OK
USA,Wellington,KS,37.2653,-97.371712,USA Wellington KS
USA,Rochester,NY,43.16103,-77.610922,USA Rochester NY
USA,Pittsburgh,PN,40.440625,-79.995886,USA Pittsburgh PN
USA,Brownfield,TX,33.181204,-102.274349,USA Brownfield TX
USA,Plainview,TX,34.184794,-101.706842,USA Plainview TX
USA,Lubbock,TX,33.577863,-101.855166,USA Lubbock TX
USA,Sweetwater,TX,32.470952,-100.405938,USA Sweetwater TX
USA,Spur,TX,33.476477,-100.855686,USA Spur TX
USA,Haskell,TX,33.157603,-99.733701,USA Haskell TX
USA,Lamesa,TX,32.7376,-101.950992,USA Lamesa TX
USA,Big Spring,TX,32.250398,-101.478735,USA Big Spring TX
USA,Seymour,TX,33.594261,-99.260353,USA Seymour TX
USA,Guanah,TX,34.297855,-99.740372,USA Guanah TX
USA,Perryto,TX,36.400031,-100.802651,USA Perryto TX
USA,Burlington,CO,39.306108,-102.269356,USA Burlington CO
USA,Stratton,CO,39.303328,-102.604645,USA Stratton CO
USA,Ozona,TX,30.702225,-101.201382,USA Ozona TX
USA,Seminole,TX,32.718993,-102.64491,USA Seminole TX
DEU,Jena,TH,50.927054,11.589237,DEU Jena TH
USA,Cleveland,OH,41.49932,-81.694361,USA Cleveland OH
USA,Covington,KY,39.083671,-84.508554,USA Covington KY
USA,Ohio,OH,40.417287,-82.907123,USA Ohio OH
USA,O. Folly Island,SC,32.665642,-79.920669,USA O. Folly Island SC
USA,Fernandina,FL,30.332184,-81.655651,USA Fernandina FL
USA,Jacksonville,FL,30.332184,-81.655651,USA Jacksonville FL
USA,St. Augustine,FL,29.901244,-81.312434,USA St. Augustine FL
USA,Blue Ridge Summit,PA,39.724262,-77.471378,USA Blue Ridge Summit PA
USA,Chicago,IL,41.878114,-87.629798,USA Chicago IL
USA,Orange,NJ,40.770619,-74.232648,USA Orange NJ
USA,Warrensville,OH,41.326467,-76.945521,USA Warrensville OH
USA,Ann Arbor,MI,42.280826,-83.743038,USA Ann Arbor MI
USA,Homer,OH,40.252612,-82.518687,USA Homer OH
USA,Wilmington,Delaware,39.739072,-75.539788,USA Wilmington Delaware
USA,Columbus,OH,39.961176,-82.998794,USA Columbus OH
USA,Wood Ridge,NJ,40.845656,-74.087919,USA Wood Ridge NJ
USA,Jersey City,NJ,40.728157,-74.077642,USA Jersey City NJ
USA,Princeton,NJ,40.357298,-74.667223,USA Princeton NJ
USA,New York,NY,40.78306,-73.971249,USA New York NY
USA,Port Cester,NY,41.001764,-73.665683,USA Port Cester NY
USA,Rutherford,NJ,40.826489,-74.106809,USA Rutherford NJ
USA,Carlstadt,NJ,40.840378,-74.090697,USA Carlstadt NJ
DEU,Sebnitz,S,50.970912,14.273873,DEU Sebnitz S
